date,symbol,open,high,low,close,volume,dollar_volume
2010-01-04,A,19.8298,19.9814,19.6656,19.7729,3815561,85427083
2010-01-04,AAPL,6.3836,6.4156,6.3522,6.401,493729600,3773681102
2010-01-04,ABT,17.9892,18.112,17.8995,18.0788,10829095,282963252
2010-01-04,ACGL,7.5871,7.6283,7.5808,7.6019,4813200,38478857
2010-01-04,ACN,30.4529,30.9517,30.4383,30.8563,3650100,153559706
2010-01-04,ADBE,36.65,37.3,36.65,37.09,4710200,174701319
2010-01-04,ADI,21.8523,22.1273,21.7286,21.7698,2102700,66592509
2010-01-04,ADM,20.0356,20.2648,19.9402,20.0293,3472500,109279573
2010-01-04,ADP,25.7493,25.7493,25.2525,25.3294,3930120,147784935
2010-01-04,ADSK,25.61,25.83,25.61,25.67,2228600,57208162
2010-01-04,AEE,15.4401,15.5723,15.2528,15.2914,1299300,36068568
2010-01-04,AEP,18.5234,18.9984,18.3651,18.439,4076600,142436398
2010-01-04,AES,8.3356,8.5349,8.3356,8.5163,4597600,62849192
2010-01-04,AFL,15.5324,15.9332,15.5324,15.8898,4724000,112360339
2010-01-04,AIG,18.951,18.9572,18.2557,18.5537,7750900,231674396
2010-01-04,AIZ,21.5603,21.9305,21.4949,21.8942,1228200,37042512
2010-01-04,AJG,15.0594,15.1993,14.8462,14.8795,379300,8469769
2010-01-04,AKAM,25.63,26.06,25.53,25.92,3015600,78164352
2010-01-04,ALB,29.1536,30.2041,29.1457,30.0856,712900,27154361
2010-01-04,ALGN,18.05,18.5,18.05,18.5,374200,6922700
2010-01-04,ALL,20.956,21.0595,20.7696,20.9905,2631000,80008710
2010-01-04,AMAT,10.7959,11.1954,10.7805,10.988,18615100,266195934
2010-01-04,AMD,9.79,9.9,9.68,9.7,18748700,181862386
2010-01-04,AME,15.3602,15.6598,15.3602,15.4201,876825,15042420
2010-01-04,AMGN,37.7959,38.6235,37.7492,38.5234,5277400,304611534
2010-01-04,AMP,27.6637,28.2793,27.5364,28.2156,2238700,89279358
2010-01-04,AMT,31.1867,31.4735,31.0361,31.1651,2750500,119536727
2010-01-04,AMZN,6.8125,6.8305,6.657,6.695,151998000,1017626636
2010-01-04,AON,32.3978,32.44,31.8586,31.9681,3407100,129265369
2010-01-04,AOS,5.6138,5.7562,5.5881,5.7215,1104600,8212701
2010-01-04,APA,75.5716,76.6662,75.2763,76.2413,2364900,250371969
2010-01-04,APD,50.1558,50.8583,49.9115,50.7972,1131483,87043598
2010-01-04,APH,5.1396,5.1396,5.0194,5.0227,9828800,56441882
2010-01-04,ARE,36.6503,37.0243,35.6475,36.0045,467100,29684205
2010-01-04,ATO,18.3197,18.5185,18.239,18.3322,442700,13068504
2010-01-04,AVGO,1.2844,1.3265,1.264,1.3237,5387000,10159882
2010-01-04,AVY,25.5945,25.7547,25.3716,25.6711,1301200,47949218
2010-01-04,AWK,15.2147,15.5202,15.2147,15.3776,2176100,49288664
2010-01-04,AXON,4.46,4.66,4.41,4.65,762700,3546555
2010-01-04,AXP,32.2058,32.4346,31.8743,32.2926,6894300,282114743
2010-01-04,AZO,158.99,159.39,157.71,158.03,408300,64523649
2010-01-04,BA,43.4191,43.9412,42.7022,43.7775,6186700,347568808
2010-01-04,BAC,11.693,12.0843,11.6009,12.0382,180845200,2837461112
2010-01-04,BALL,11.0225,11.1691,11.014,11.1564,2468400,32391580
2010-01-04,BAX,23.3802,23.3802,22.8451,23.1027,11467589,363088407
2010-01-04,BBY,22.907,23.3325,22.7863,23.1083,6433800,258574413
2010-01-04,BDX,45.5103,45.9079,45.0897,45.2856,2337974,140945511
2010-01-04,BEN,19.045,19.4289,18.9948,19.3715,3746700,134881200
2010-01-04,BF-B,10.5166,10.6461,10.5107,10.5617,1169250,16774841
2010-01-04,BG,42.6775,43.3151,42.5845,42.9432,820700,53058256
2010-01-04,BIIB,53.97,53.97,53.6,53.64,2469700,132474706
2010-01-04,BKNG,8.7078,8.8245,8.6788,8.7721,21580000,193322267
2010-01-04,BKR,20.5244,20.6638,20.4148,20.5343,5888000,242821130
2010-01-04,BLDR,3.93,3.93,3.75,3.77,494400,1863888
2010-01-04,BLK,154.9146,157.2444,153.2542,156.575,238700,56949046
2010-01-04,BMY,14.2587,14.4214,14.197,14.3822,14376100,368459431
2010-01-04,BNY,19.3011,19.4722,19.123,19.3695,6127700,173352639
2010-01-04,BR,16.1638,16.2848,16.0714,16.1425,617900,14020151
2010-01-04,BRK-B,66,66.5,65.92,66.22,1575000,104296502
2010-01-04,BRO,7.5356,7.5523,7.4563,7.5189,1437600,12945588
2010-01-04,BSX,8.86,9.13,8.78,9.01,14332300,129134026
2010-01-04,BX,5.8037,6.0228,5.7599,6.0052,3936091,52957612
2010-01-04,BXP,36.1058,36.5012,35.5396,35.8441,1511500,101421648
2010-01-04,C,24.5604,24.9259,24.4142,24.8528,40679350,1383097900
2010-01-04,CAH,21.3347,21.6126,21.1097,21.5266,3824400,124407727
2010-01-04,CASY,28.0496,28.1103,27.5026,27.5981,304400,9676876
2010-01-04,CAT,38.4516,39.4788,38.3583,39.0519,7325600,428913874
2010-01-04,CB,36.2415,36.4788,35.3355,35.429,2670300,131565682
2010-01-04,CBRE,13.81,14.15,13.63,13.82,4553000,62922459
2010-01-04,CCI,23.8005,24.2474,23.7522,23.9213,1964100,77798002
2010-01-04,CCL,23.6836,24.0283,23.4415,23.5149,5372700,172248769
2010-01-04,CDNS,6.01,6.12,5.95,6.12,3089200,18905904
2010-01-04,CF,12.756,12.7712,12.4992,12.6801,6172000,113367296
2010-01-04,CHD,11.9336,12.0873,11.906,12.0833,2232400,34233854
2010-01-04,CHRW,40.758,41.054,40.5653,40.8406,822900,48830886
2010-01-04,CI,31.7226,32.7479,31.6416,32.712,3227300,117376898
2010-01-04,CIEN,10.92,11.11,10.8,11.02,4406500,48559632
2010-01-04,CINF,15.3451,15.5077,15.3451,15.3915,1261400,33427100
2010-01-04,CL,27.7791,27.9105,27.567,27.9004,4874200,201913731
2010-01-04,CLX,36.9606,36.9606,36.6844,36.8885,1014300,62308449
2010-01-04,CMCSA,5.3707,5.4926,5.3707,5.4413,28965636,230340584
2010-01-04,CME,34.9932,35.5101,34.8939,35.3995,2660500,182196367
2010-01-04,CMG,1.792,1.792,1.7436,1.7568,15695000,27572977
2010-01-04,CMI,31.4159,31.931,31.3549,31.8158,1148600,53915282
2010-01-04,CMS,9.0429,9.1526,9.0083,9.1122,5875500,92774145
2010-01-04,CNC,5.35,5.4375,5.32,5.425,1320000,7161000
2010-01-04,CNP,7.9222,7.9548,7.8734,7.8842,2239700,32520445
2010-01-04,COF,29.9708,30.3429,29.8855,30.2732,4447400,173670967
2010-01-04,COHR,16.075,16.235,15.98,16.08,185000,2974800
2010-01-04,COO,9.504,9.5586,9.3425,9.3773,1924800,18165300
2010-01-04,COP,22.1272,22.5161,22.0246,22.4734,13880848,556380526
2010-01-04,COR,17.9132,18.1857,17.811,18.1449,2455900,65400615
2010-01-04,COST,41.7788,42.443,41.7788,41.9766,3280200,194876681
2010-01-04,CPRT,2.2956,2.3087,2.2719,2.2756,4688000,10668130
2010-01-04,CPT,22.6782,22.9492,21.8809,22.051,1771200,73487091
2010-01-04,CRH,17.0843,17.3045,17.0721,17.1516,37800,1060290
2010-01-04,CRL,33.74,33.81,33.26,33.57,1000600,33590142
2010-01-04,CRM,18.3353,18.5614,18.2321,18.3869,7906000,147881729
2010-01-04,CSCO,15.4585,15.9266,15.3944,15.8304,59853700,1477787885
2010-01-04,CSGP,4.238,4.273,4.187,4.225,710000,2999750
2010-01-04,CSX,4.0875,4.1034,4.0275,4.0767,25173000,136661418
2010-01-04,CTAS,5.2136,5.2733,5.1918,5.2454,4204400,27738528
2010-01-04,CTSH,19.8713,20.3764,19.8713,20.3764,5765200,134905678
2010-01-04,CVS,21.6316,22.0518,21.5983,21.9985,14676800,484040857
2010-01-04,CVX,40.0962,40.6089,40.0757,40.5371,10173800,804340603
2010-01-04,D,19.6384,19.7991,19.5078,19.568,2175500,84757478
2010-01-04,DAL,9.6198,9.7999,9.3883,9.6198,14482500,162493654
2010-01-04,DD,33.0819,34.2433,32.6127,34.2316,9478145,494104965
2010-01-04,DE,40.0828,41.1519,39.7899,41.0494,3974600,222816081
2010-01-04,DECK,5.7222,5.7922,5.6806,5.7639,9666000,55713749
2010-01-04,DG,19.3379,20.0668,19.2092,19.7924,437200,10090576
2010-01-04,DGX,44.8306,45.1628,44.4615,45.148,1046000,63973360
2010-01-04,DHI,9.1339,9.3172,9.0589,9.3006,5799100,64717955
2010-01-04,DHR,15.1618,15.202,14.965,15.0955,5868605,148210842
2010-01-04,DIS,27.4468,27.658,26.9148,27.0837,13700400,439371824
2010-01-04,DLR,26.3795,26.7094,25.8821,26.2591,1306900,65541037
2010-01-04,DLTR,16.1767,16.34,16,16.0567,3059400,49123768
2010-01-04,DOC,11.6677,11.6978,11.288,11.3068,4278686,117176763
2010-01-04,DOV,20.7773,20.9953,20.6335,20.9953,1859815,52810225
2010-01-04,DPZ,6.7317,6.8501,6.637,6.8501,401300,3483284
2010-01-04,DRI,18.6568,18.6568,18.2725,18.4252,2492561,77983512
2010-01-04,DTE,20.6505,20.801,20.4341,20.4811,1670380,61896467
2010-01-04,DUK,25.0709,25.1874,24.6338,24.7212,4152133,211385090
2010-01-04,DVA,29.56,30.025,29.545,29.96,1910400,57235582
2010-01-04,DVN,47.6408,48.577,47.3498,48.4379,4225500,323546534
2010-01-04,DXCM,2.0525,2.14,2.0525,2.14,1492400,3193736
2010-01-04,EBAY,8.8306,8.9274,8.7933,8.8976,22511650,226442949
2010-01-04,ECHO,16.2966,16.6207,16.1912,16.6045,264816,4397147
2010-01-04,ECL,37.3212,37.5782,37.1803,37.5036,1009500,45679875
2010-01-04,ED,23.9118,24.0269,23.6504,23.7288,2142300,97217576
2010-01-04,EFX,25.9402,26.2483,25.8486,26.2067,750700,23624528
2010-01-04,EG,61.0281,61.2474,60.2712,60.4481,444800,38008159
2010-01-04,EIX,18.8778,18.91,18.6786,18.7163,1931500,67158256
2010-01-04,EL,19.9084,19.9902,19.7204,19.8471,3508400,85148870
2010-01-04,ELV,46.4203,47.3061,46.1751,47.2586,4641800,277347550
2010-01-04,EME,25.247,25.6986,25.0626,25.6986,652100,18180547
2010-01-04,EMR,27.5625,27.7222,27.2943,27.6903,3781000,163906344
2010-01-04,EOG,34.406,34.7835,34.3679,34.7627,4110000,206280894
2010-01-04,EQIX,77.9698,80.2389,77.9625,80.195,576300,63139427
2010-01-04,EQT,20.8224,21.1781,20.8224,20.9628,1422205,34676408
2010-01-04,ERIE,24.743,25.0022,24.743,24.8694,43600,1715660
2010-01-04,ES,14.4627,14.66,14.4627,14.5303,1206800,31099237
2010-01-04,ESS,49.356,49.5963,48.1486,48.4241,448000,37013761
2010-01-04,ETN,21.2358,21.5433,21.1266,21.2721,2347600,75498816
2010-01-04,ETR,20.5353,20.6929,20.4478,20.5478,2098800,86208212
2010-01-04,EVRG,11.4216,11.4685,11.3122,11.3799,597100,13040664
2010-01-04,EW,7.3058,7.3667,7.2617,7.2892,3092400,22541020
2010-01-04,EXC,18.2778,18.33,18.1661,18.2071,6123375,213488279
2010-01-04,EXPD,28.4543,28.5272,28.2515,28.4461,1062400,37268994
2010-01-04,EXPE,33.4521,33.7123,33.0747,33.5952,2186500,112910859
2010-01-04,EXR,6.6034,6.6933,6.5191,6.6821,774400,9207616
2010-01-04,F,5.0556,5.1103,4.996,5.1103,60855800,625597608
2010-01-04,FAST,3.445,3.4737,3.418,3.4459,13728000,72123478
2010-01-04,FCX,29.486,29.8394,29.4646,29.7894,18082400,754578544
2010-01-04,FDS,54.9646,55.7532,54.8234,55.3547,422800,28192304
