date,symbol,open,high,low,close,volume,dollar_volume
2020-01-02,CAT,130.7255,132.0854,129.8306,132.0679,3311900,498540303
2020-01-02,CB,140.749,140.9025,139.4033,140.9025,2037800,317937565
2020-01-02,CBOE,109.9957,110.4367,108.6908,109.8302,460700,55062862
2020-01-02,CBRE,61.9,61.9,60.97,61.48,1326700,81565515
2020-01-02,CCI,106.8792,107.127,105.9781,106.3911,1795500,254386427
2020-01-02,CCL,49.9548,50.2661,49.3517,49.9159,4201000,215553316
2020-01-02,CDNS,70.18,71.44,69.59,71.44,1410700,100780411
2020-01-02,CDW,132.9028,132.9028,130.4101,132.3417,1333700,191892763
2020-01-02,CF,40.9952,40.9952,39.1576,39.4724,2653500,123122404
2020-01-02,CFG,30.4434,30.4883,30.0472,30.4659,2903800,118329850
2020-01-02,CHD,64.9424,65.2469,64.278,64.6194,1424300,99743727
2020-01-02,CHRW,67.6018,67.6018,66.2325,67.0248,1258800,97972406
2020-01-02,CHTR,487.41,491.41,480.49,490.43,1378800,676204874
2020-01-02,CI,185.7562,186.1722,182.7716,185.3492,1372600,281300647
2020-01-02,CIEN,43.25,43.39,42.45,42.86,1470900,63042775
2020-01-02,CINF,89.3187,89.6654,88.6252,89.6062,801100,84884555
2020-01-02,CL,58.7058,58.7911,57.8957,58.0918,3441800,234455425
2020-01-02,CLX,123.6786,123.7028,122.203,123.0577,1292500,197248426
2020-01-02,CMCSA,34.8561,34.8868,34.5256,34.8637,21521924,915135617
2020-01-02,CME,156.552,157.2837,156.1394,157.128,1464900,295690074
2020-01-02,CMG,16.7994,17.1838,16.7506,17.1638,24365000,418195970
2020-01-02,CMI,153.4565,154.1896,151.2231,152.8598,1272900,228256437
2020-01-02,CMS,51.3125,51.3288,50.2595,50.3738,2420100,149344369
2020-01-02,CNC,62.98,63.27,60.82,61.88,4969200,307494101
2020-01-02,CNP,22.847,22.8553,22.312,22.5293,3385800,91247313
2020-01-02,COF,92.2032,92.3905,91.2135,92.3815,1603000,166086831
2020-01-02,COHR,34.26,35.32,34.01,35.32,1750900,61841787
2020-01-02,COO,80.7506,80.908,79.6388,80.7755,1268000,102492442
2020-01-02,COP,51.2887,51.6029,50.9508,51.4301,4122800,269878484
2020-01-02,COR,71.9092,72.0436,70.8176,71.439,817600,69561409
2020-01-02,COST,267.6658,268.1391,264.8804,265.3264,2103600,613178343
2020-01-02,CPAY,289.88,291.41,286.73,287.74,814000,234220352
2020-01-02,CPRT,22.85,23.3925,22.84,23.37,10866000,253938429
2020-01-02,CPT,85.2072,85.2072,83.6413,83.9369,585600,61523135
2020-01-02,CRH,33.9697,33.978,33.7287,33.9448,490700,20040188
2020-01-02,CRL,154.27,154.84,151.38,153.89,337200,51891708
2020-01-02,CRM,161.1323,164.2288,160.7981,164.1501,5189300,866561236
2020-01-02,CRWD,12.5075,12.6875,12.3125,12.36,17713200,218935146
2020-01-02,CSCO,39.806,40.1042,39.6569,40.1042,16708100,809006171
2020-01-02,CSGP,60.504,62.113,60.354,62.066,3162000,196252698
2020-01-02,CSX,22.2544,22.3675,22.0803,22.3675,8490300,207135026
2020-01-02,CTAS,63.2895,63.517,62.5203,63.5076,2176800,147363923
2020-01-02,CTSH,55.8682,56.0206,55.3211,55.5363,2234500,138360236
2020-01-02,CTVA,27.5516,27.5516,26.5442,26.5627,6896100,198193912
2020-01-02,CVNA,18.642,19.396,18.502,19.39,6106500,118405031
2020-01-02,CVS,60.125,60.1652,59.2229,59.7303,5022700,372483450
2020-01-02,CVX,89.9322,90.5426,89.9024,90.3937,5205000,632043152
2020-01-02,D,62.5173,62.5626,61.4839,61.8233,3004200,246224229
2020-01-02,DAL,56.492,56.9329,56.0318,56.5974,4459200,263271172
