symbol,role,period_end,value,available_from,tag,seen
A,assets,2010-10-31,9696000000,2010-12-20,Assets,2026-08-25
A,cash,2010-10-31,2649000000,2010-12-20,CashAndCashEquivalentsAtCarryingValue,2026-08-25
A,debt,2010-10-31,2190000000,2010-12-20,LongTermDebtNoncurrent,2026-08-25
A,equity,2010-10-31,3228000000,2010-12-20,StockholdersEquity,2026-08-25
A,inventory,2010-10-31,716000000,2010-12-20,InventoryNet,2026-08-25
A,liabilities,2010-10-31,6460000000,2010-12-20,Liabilities,2026-08-25
A,receivables,2010-10-31,869000000,2010-12-20,AccountsReceivableNetCurrent,2026-08-25
AAPL,assets,2010-12-25,86742000000,2011-03-20,Assets,2026-08-25
AAPL,capex,2010-12-25,1214000000,2011-03-20,PaymentsToAcquireProductiveAssets,2026-08-25
AAPL,cash,2010-12-25,10734000000,2011-03-20,CashAndCashEquivalentsAtCarryingValue,2026-08-25
AAPL,equity,2010-12-25,54666000000,2011-03-20,StockholdersEquity,2026-08-25
AAPL,grossProfit,2010-12-25,10298000000,2011-03-20,GrossProfit,2026-08-25
AAPL,inventory,2010-12-25,885000000,2011-03-20,InventoryNet,2026-08-25
AAPL,liabilities,2010-12-25,32076000000,2011-03-20,Liabilities,2026-08-25
AAPL,netIncome,2010-12-25,6004000000,2011-03-20,NetIncomeLoss,2026-08-25
AAPL,operatingCashFlow,2010-12-25,9773000000,2011-03-20,NetCashProvidedByUsedInOperatingActivities,2026-08-25
AAPL,operatingIncome,2010-12-25,7827000000,2011-03-20,OperatingIncomeLoss,2026-08-25
AAPL,receivables,2010-12-25,6027000000,2011-03-20,AccountsReceivableNetCurrent,2026-08-25
AAPL,revenue,2010-12-25,26741000000,2011-03-20,SalesRevenueNet,2026-08-25
AAPL,rnd,2010-12-25,575000000,2011-03-20,ResearchAndDevelopmentExpense,2026-08-25
AAPL,shares,2010-12-25,921035475,2011-03-20,CommonStockSharesOutstanding,2026-08-25
ABBV,cash,2010-12-31,10000000,2011-03-26,CashAndCashEquivalentsAtCarryingValue,2026-08-25
ABT,assets,2010-12-31,60573852000,2011-03-26,Assets,2026-08-25
ABT,cash,2010-12-31,3648000000,2011-03-26,CashAndCashEquivalentsAtCarryingValue,2026-08-25
ABT,debt,2010-12-31,12523517000,2011-03-26,LongTermDebtNoncurrent,2026-08-25
ABT,equity,2010-12-31,22676802000,2011-03-26,StockholdersEquity,2026-08-25
ABT,grossProfit,2010-12-31,5922800000,2011-03-26,GrossProfit,2026-08-25
ABT,inventory,2010-12-31,3188734000,2011-03-26,InventoryNet,2026-08-25
ABT,receivables,2010-12-31,7184034000,2011-03-26,AccountsReceivableNetCurrent,2026-08-25
ABT,revenue,2010-12-31,9967800000,2011-03-26,SalesRevenueNet,2026-08-25
ACGL,assets,2010-12-31,16279228000,2011-03-26,Assets,2026-08-25
ACGL,cash,2010-12-31,362740000,2011-03-26,CashAndCashEquivalentsAtCarryingValue,2026-08-25
ACGL,liabilities,2010-12-31,11766225000,2011-03-26,Liabilities,2026-08-25
ACGL,netIncome,2010-12-31,234112000,2011-03-26,NetIncomeLoss,2026-08-25
ACGL,shares,2010-12-31,139632225,2011-03-26,CommonStockSharesOutstanding,2026-08-25
ACN,assets,2010-11-30,12868874000,2011-02-23,Assets,2026-08-25
ACN,buybacks,2010-11-30,619720000,2011-02-23,PaymentsForRepurchaseOfCommonStock,2026-08-25
ACN,capex,2010-11-30,75483000,2011-02-23,PaymentsToAcquirePropertyPlantAndEquipment,2026-08-25
ACN,cash,2010-11-30,4160452000,2011-02-23,CashAndCashEquivalentsAtCarryingValue,2026-08-25
ACN,equity,2010-11-30,2909396000,2011-02-23,StockholdersEquity,2026-08-25
ACN,netIncome,2010-11-30,534714000,2011-02-23,NetIncomeLoss,2026-08-25
ACN,operatingCashFlow,2010-11-30,106399000,2011-02-23,NetCashProvidedByUsedInOperatingActivities,2026-08-25
ACN,operatingIncome,2010-11-30,826935000,2011-02-23,OperatingIncomeLoss,2026-08-25
ACN,receivables,2010-11-30,2846561000,2011-02-23,AccountsReceivableNetCurrent,2026-08-25
ACN,revenue,2010-11-30,6478193000,2011-02-23,Revenues,2026-08-25
ADBE,assets,2010-12-03,8141148000,2011-02-26,Assets,2026-08-25
ADBE,cash,2010-12-03,749891000,2011-02-26,CashAndCashEquivalentsAtCarryingValue,2026-08-25
ADBE,equity,2010-12-03,5192387000,2011-02-26,StockholdersEquity,2026-08-25
ADBE,grossProfit,2010-12-03,900729000,2011-02-26,GrossProfit,2026-08-25
ADBE,liabilities,2010-12-03,2948761000,2011-02-26,Liabilities,2026-08-25
ADBE,netIncome,2010-12-03,268850000,2011-02-26,NetIncomeLoss,2026-08-25
ADBE,receivables,2010-12-03,554328000,2011-02-26,AccountsReceivableNetCurrent,2026-08-25
ADBE,revenue,2010-12-03,1007946000,2011-02-26,Revenues,2026-08-25
ADBE,shares,2010-12-03,501897000,2011-02-26,CommonStockSharesOutstanding,2026-08-25
ADI,assets,2010-10-30,4328831000,2010-12-19,Assets,2026-08-25
ADI,cash,2010-10-30,1405100000,2010-12-19,CashAndCashEquivalentsAtCarryingValue,2026-08-25
ADI,equity,2010-10-30,3199717000,2010-12-19,StockholdersEquity,2026-08-25
ADI,grossProfit,2010-10-30,516229000,2010-12-19,GrossProfit,2026-08-25
ADI,inventory,2010-10-30,277478000,2010-12-19,InventoryNet,2026-08-25
ADI,operatingIncome,2010-10-30,285740000,2010-12-19,OperatingIncomeLoss,2026-08-25
ADI,receivables,2010-10-30,387169000,2010-12-19,AccountsReceivableNetCurrent,2026-08-25
ADI,revenue,2010-10-30,769990000,2010-12-19,SalesRevenueNet,2026-08-25
ADI,rnd,2010-10-30,128140000,2010-12-19,ResearchAndDevelopmentExpense,2026-08-25
ADI,shares,2010-10-30,298652994,2010-12-19,CommonStockSharesOutstanding,2026-08-25
ADM,assets,2010-12-31,42610000000,2011-03-26,Assets,2026-08-25
ADM,cash,2010-12-31,526000000,2011-03-26,CashAndCashEquivalentsAtCarryingValue,2026-08-25
ADM,debt,2010-12-31,6848000000,2011-03-26,LongTermDebtNoncurrent,2026-08-25
ADM,grossProfit,2010-12-31,1234000000,2011-03-26,GrossProfit,2026-08-25
ADM,netIncome,2010-12-31,732000000,2011-03-26,NetIncomeLoss,2026-08-25
ADM,revenue,2010-12-31,20930000000,2011-03-26,Revenues,2026-08-25
ADP,assets,2010-12-31,32660300000,2011-03-26,Assets,2026-08-25
ADP,cash,2010-12-31,1305700000,2011-03-26,CashAndCashEquivalentsAtCarryingValue,2026-08-25
ADP,debt,2010-12-31,37900000,2011-03-26,LongTermDebt,2026-08-25
ADP,equity,2010-12-31,5775600000,2011-03-26,StockholdersEquity,2026-08-25
ADP,grossProfit,2010-12-31,1025400000,2011-03-26,GrossProfit,2026-08-25
ADP,liabilities,2010-12-31,26884700000,2011-03-26,Liabilities,2026-08-25
ADP,netIncome,2010-12-31,310100000,2011-03-26,NetIncomeLoss,2026-08-25
ADP,receivables,2010-12-31,1136600000,2011-03-26,AccountsReceivableNetCurrent,2026-08-25
ADP,revenue,2010-12-31,2405700000,2011-03-26,Revenues,2026-08-25
ADP,shares,2010-12-31,494200000,2011-03-26,CommonStockSharesOutstanding,2026-08-25
ADSK,assets,2010-10-31,2581100000,2010-12-20,Assets,2026-08-25
ADSK,cash,2010-10-31,904300000,2010-12-20,CashAndCashEquivalentsAtCarryingValue,2026-08-25
ADSK,equity,2010-10-31,1556100000,2010-12-20,StockholdersEquity,2026-08-25
ADSK,grossProfit,2010-10-31,428200000,2010-12-20,GrossProfit,2026-08-25
ADSK,netIncome,2010-10-31,53600000,2010-12-20,NetIncomeLoss,2026-08-25
ADSK,operatingIncome,2010-10-31,69200000,2010-12-20,OperatingIncomeLoss,2026-08-25
ADSK,receivables,2010-10-31,240100000,2010-12-20,AccountsReceivableNetCurrent,2026-08-25
ADSK,revenue,2010-10-31,476700000,2010-12-20,SalesRevenueNet,2026-08-25
ADSK,rnd,2010-10-31,122800000,2010-12-20,ResearchAndDevelopmentExpense,2026-08-25
AEE,assets,2010-12-31,23511000000,2011-03-26,Assets,2026-08-25
AEE,cash,2010-12-31,538000000,2011-03-26,CashAndCashEquivalentsAtCarryingValue,2026-08-25
AEE,debt,2010-12-31,6853000000,2011-03-26,LongTermDebtNoncurrent,2026-08-25
AEE,equity,2010-12-31,7730000000,2011-03-26,StockholdersEquity,2026-08-25
AEE,inventory,2010-12-31,707000000,2011-03-26,InventoryNet,2026-08-25
AEE,netIncome,2010-12-31,52000000,2011-03-26,NetIncomeLoss,2026-08-25
AEE,operatingIncome,2010-12-31,198000000,2011-03-26,OperatingIncomeLoss,2026-08-25
AEE,receivables,2010-12-31,517000000,2011-03-26,AccountsReceivableNetCurrent,2026-08-25
AEE,revenue,2010-12-31,1706000000,2011-03-26,Revenues,2026-08-25
AEE,shares,2010-12-31,240400000,2011-03-26,CommonStockSharesOutstanding,2026-08-25
AEP,assets,2010-12-31,50455000000,2011-03-26,Assets,2026-08-25
AEP,cash,2010-12-31,294000000,2011-03-26,CashAndCashEquivalentsAtCarryingValue,2026-08-25
AEP,debt,2010-12-31,15502000000,2011-03-26,LongTermDebtNoncurrent,2026-08-25
AEP,equity,2010-12-31,13622000000,2011-03-26,StockholdersEquity,2026-08-25
AEP,liabilities,2010-12-31,36773000000,2011-03-26,Liabilities,2026-08-25
AEP,operatingIncome,2010-12-31,486000000,2011-03-26,OperatingIncomeLoss,2026-08-25
AEP,receivables,2010-12-31,1923000000,2011-03-26,AccountsReceivableNetCurrent,2026-08-25
AEP,revenue,2010-12-31,3434000000,2011-03-26,Revenues,2026-08-25
AES,assets,2010-12-31,40511000000,2011-03-26,Assets,2026-08-25
AES,cash,2010-12-31,2360000000,2011-03-26,CashAndCashEquivalentsAtCarryingValue,2026-08-25
AES,equity,2010-12-31,6473000000,2011-03-26,StockholdersEquity,2026-08-25
AES,grossProfit,2010-12-31,1008000000,2011-03-26,GrossProfit,2026-08-25
AES,inventory,2010-12-31,549000000,2011-03-26,InventoryNet,2026-08-25
AES,netIncome,2010-12-31,-436000000,2011-03-26,NetIncomeLoss,2026-08-25
AES,receivables,2010-12-31,2244000000,2011-03-26,AccountsReceivableNetCurrent,2026-08-25
AES,shares,2010-12-31,787607240,2011-03-26,CommonStockSharesOutstanding,2026-08-25
AFL,assets,2010-12-31,100243000000,2011-03-26,Assets,2026-08-25
