symbol,role,period_end,value,available_from,tag,seen
AAPL,assets,2010-03-27,57057000000,2010-05-16,Assets,2026-08-25
AAPL,cash,2010-03-27,10018000000,2010-05-16,CashAndCashEquivalentsAtCarryingValue,2026-08-25
AAPL,equity,2010-03-27,39348000000,2010-05-16,StockholdersEquity,2026-08-25
AAPL,grossProfit,2010-03-27,5625000000,2010-05-16,GrossProfit,2026-08-25
AAPL,inventory,2010-03-27,638000000,2010-05-16,InventoryNet,2026-08-25
AAPL,liabilities,2010-03-27,17709000000,2010-05-16,Liabilities,2026-08-25
AAPL,netIncome,2010-03-27,3074000000,2010-05-16,NetIncomeLoss,2026-08-25
AAPL,operatingIncome,2010-03-27,3979000000,2010-05-16,OperatingIncomeLoss,2026-08-25
AAPL,receivables,2010-03-27,2886000000,2010-05-16,AccountsReceivableNetCurrent,2026-08-25
AAPL,revenue,2010-03-27,13499000000,2010-05-16,SalesRevenueNet,2026-08-25
AAPL,rnd,2010-03-27,426000000,2010-05-16,ResearchAndDevelopmentExpense,2026-08-25
AAPL,shares,2010-03-27,909635811,2010-05-16,CommonStockSharesOutstanding,2026-08-25
ABT,assets,2010-03-31,53358622000,2010-05-20,Assets,2026-08-25
ABT,buybacks,2010-03-31,861368000,2010-05-20,PaymentsForRepurchaseOfCommonStock,2026-08-25
ABT,capex,2010-03-31,245143000,2010-05-20,PaymentsToAcquirePropertyPlantAndEquipment,2026-08-25
ABT,cash,2010-03-31,1566820000,2010-05-20,CashAndCashEquivalentsAtCarryingValue,2026-08-25
ABT,debt,2010-03-31,10878649000,2010-05-20,LongTermDebtNoncurrent,2026-08-25
ABT,equity,2010-03-31,20860099000,2010-05-20,StockholdersEquity,2026-08-25
ABT,grossProfit,2010-03-31,4363200000,2010-05-20,GrossProfit,2026-08-25
ABT,inventory,2010-03-31,3410921000,2010-05-20,InventoryNet,2026-08-25
ABT,operatingCashFlow,2010-03-31,1522752000,2010-05-20,NetCashProvidedByUsedInOperatingActivities,2026-08-25
ABT,operatingIncome,2010-03-31,1470483000,2010-05-20,OperatingIncomeLoss,2026-08-25
ABT,receivables,2010-03-31,6520222000,2010-05-20,AccountsReceivableNetCurrent,2026-08-25
ABT,revenue,2010-03-31,7698400000,2010-05-20,SalesRevenueNet,2026-08-25
ACGL,buybacks,2010-03-31,181272000,2010-05-20,PaymentsForRepurchaseOfCommonStock,2026-08-25
ACGL,capex,2010-03-31,1803000,2010-05-20,PaymentsToAcquireProductiveAssets,2026-08-25
ACGL,cash,2010-03-31,338708000,2010-05-20,CashAndCashEquivalentsAtCarryingValue,2026-08-25
ACGL,netIncome,2010-03-31,216994000,2010-05-20,NetIncomeLoss,2026-08-25
ACGL,operatingCashFlow,2010-03-31,184623000,2010-05-20,NetCashProvidedByUsedInOperatingActivities,2026-08-25
ACGL,revenue,2010-03-31,844887000,2010-05-20,Revenues,2026-08-25
ACN,assets,2010-02-28,11890088000,2010-04-19,Assets,2026-08-25
ACN,cash,2010-02-28,4114751000,2010-04-19,CashAndCashEquivalentsAtCarryingValue,2026-08-25
ACN,equity,2010-02-28,2959496000,2010-04-19,StockholdersEquity,2026-08-25
ACN,netIncome,2010-02-28,399760000,2010-04-19,NetIncomeLoss,2026-08-25
ACN,operatingIncome,2010-02-28,650973000,2010-04-19,OperatingIncomeLoss,2026-08-25
ACN,receivables,2010-02-28,2470983000,2010-04-19,AccountsReceivableNetCurrent,2026-08-25
ACN,revenue,2010-02-28,5537823000,2010-04-19,Revenues,2026-08-25
ADBE,assets,2010-03-05,7945069000,2010-04-24,Assets,2026-08-25
ADBE,buybacks,2010-03-05,20000,2010-04-24,PaymentsForRepurchaseOfCommonStock,2026-08-25
ADBE,capex,2010-03-05,25547000,2010-04-24,PaymentsToAcquirePropertyPlantAndEquipment,2026-08-25
ADBE,cash,2010-03-05,1589442000,2010-04-24,CashAndCashEquivalentsAtCarryingValue,2026-08-25
ADBE,debt,2010-03-05,1493546000,2010-04-24,LongTermDebtNoncurrent,2026-08-25
ADBE,equity,2010-03-05,5171420000,2010-04-24,StockholdersEquity,2026-08-25
ADBE,grossProfit,2010-03-05,769332000,2010-04-24,GrossProfit,2026-08-25
ADBE,liabilities,2010-03-05,2773649000,2010-04-24,Liabilities,2026-08-25
ADBE,netIncome,2010-03-05,127154000,2010-04-24,NetIncomeLoss,2026-08-25
ADBE,operatingCashFlow,2010-03-05,259861000,2010-04-24,NetCashProvidedByUsedInOperatingActivities,2026-08-25
ADBE,operatingIncome,2010-03-05,176833000,2010-04-24,OperatingIncomeLoss,2026-08-25
