symbol,role,period_end,value,available_from,tag,seen
A,assets,2010-04-30,7767000000,2010-06-19,Assets,2026-08-25
A,cash,2010-04-30,2646000000,2010-06-19,CashAndCashEquivalentsAtCarryingValue,2026-08-25
A,debt,2010-04-30,1393000000,2010-06-19,LongTermDebtNoncurrent,2026-08-25
A,equity,2010-04-30,2624000000,2010-06-19,StockholdersEquity,2026-08-25
A,inventory,2010-04-30,546000000,2010-06-19,InventoryNet,2026-08-25
A,liabilities,2010-04-30,5135000000,2010-06-19,Liabilities,2026-08-25
A,operatingIncome,2010-04-30,154000000,2010-06-19,OperatingIncomeLoss,2026-08-25
A,receivables,2010-04-30,669000000,2010-06-19,AccountsReceivableNetCurrent,2026-08-25
A,revenue,2010-04-30,1271000000,2010-06-19,SalesRevenueNet,2026-08-25
A,rnd,2010-04-30,150000000,2010-06-19,ResearchAndDevelopmentExpense,2026-08-25
AAPL,assets,2010-06-26,64725000000,2010-08-15,Assets,2026-08-25
AAPL,cash,2010-06-26,9705000000,2010-08-15,CashAndCashEquivalentsAtCarryingValue,2026-08-25
AAPL,equity,2010-06-26,43111000000,2010-08-15,StockholdersEquity,2026-08-25
AAPL,grossProfit,2010-06-26,6136000000,2010-08-15,GrossProfit,2026-08-25
AAPL,inventory,2010-06-26,942000000,2010-08-15,InventoryNet,2026-08-25
AAPL,liabilities,2010-06-26,21614000000,2010-08-15,Liabilities,2026-08-25
AAPL,netIncome,2010-06-26,3253000000,2010-08-15,NetIncomeLoss,2026-08-25
AAPL,operatingIncome,2010-06-26,4234000000,2010-08-15,OperatingIncomeLoss,2026-08-25
AAPL,receivables,2010-06-26,3447000000,2010-08-15,AccountsReceivableNetCurrent,2026-08-25
AAPL,revenue,2010-06-26,15700000000,2010-08-15,SalesRevenueNet,2026-08-25
AAPL,rnd,2010-06-26,464000000,2010-08-15,ResearchAndDevelopmentExpense,2026-08-25
AAPL,shares,2010-06-26,913482347,2010-08-15,CommonStockSharesOutstanding,2026-08-25
ABT,assets,2010-06-30,53381402000,2010-08-19,Assets,2026-08-25
ABT,cash,2010-06-30,4321702000,2010-08-19,CashAndCashEquivalentsAtCarryingValue,2026-08-25
ABT,debt,2010-06-30,12612655000,2010-08-19,LongTermDebtNoncurrent,2026-08-25
ABT,equity,2010-06-30,19911709000,2010-08-19,StockholdersEquity,2026-08-25
ABT,grossProfit,2010-06-30,5282100000,2010-08-19,GrossProfit,2026-08-25
ABT,inventory,2010-06-30,3168641000,2010-08-19,InventoryNet,2026-08-25
ABT,operatingIncome,2010-06-30,1605966000,2010-08-19,OperatingIncomeLoss,2026-08-25
ABT,receivables,2010-06-30,6338350000,2010-08-19,AccountsReceivableNetCurrent,2026-08-25
ABT,revenue,2010-06-30,8826000000,2010-08-19,SalesRevenueNet,2026-08-25
ACGL,assets,2010-06-30,16777399000,2010-08-19,Assets,2026-08-25
ACGL,cash,2010-06-30,341469000,2010-08-19,CashAndCashEquivalentsAtCarryingValue,2026-08-25
ACGL,liabilities,2010-06-30,12379396000,2010-08-19,Liabilities,2026-08-25
ACGL,netIncome,2010-06-30,243451000,2010-08-19,NetIncomeLoss,2026-08-25
ACGL,revenue,2010-06-30,776315000,2010-08-19,Revenues,2026-08-25
ACN,assets,2010-05-31,11917658000,2010-07-20,Assets,2026-08-25
ACN,cash,2010-05-31,4312111000,2010-07-20,CashAndCashEquivalentsAtCarryingValue,2026-08-25
ACN,equity,2010-05-31,2996630000,2010-07-20,StockholdersEquity,2026-08-25
ACN,netIncome,2010-05-31,490597000,2010-07-20,NetIncomeLoss,2026-08-25
ACN,operatingIncome,2010-05-31,803830000,2010-07-20,OperatingIncomeLoss,2026-08-25
ACN,receivables,2010-05-31,2350493000,2010-07-20,AccountsReceivableNetCurrent,2026-08-25
