symbol,role,period_end,value,available_from,tag,seen
A,assets,2011-10-31,9057000000,2011-12-20,Assets,2026-08-25
A,cash,2011-10-31,3527000000,2011-12-20,CashAndCashEquivalentsAtCarryingValue,2026-08-25
A,debt,2011-10-31,1932000000,2011-12-20,LongTermDebtNoncurrent,2026-08-25
A,equity,2011-10-31,4308000000,2011-12-20,StockholdersEquity,2026-08-25
A,inventory,2011-10-31,898000000,2011-12-20,InventoryNet,2026-08-25
A,liabilities,2011-10-31,4741000000,2011-12-20,Liabilities,2026-08-25
A,receivables,2011-10-31,860000000,2011-12-20,AccountsReceivableNetCurrent,2026-08-25
A,shares,2011-10-31,591000000,2011-12-20,CommonStockSharesOutstanding,2026-08-25
AAPL,assets,2011-12-31,138681000000,2012-03-25,Assets,2026-08-25
AAPL,buybacks,2011-12-31,0,2012-03-25,PaymentsForRepurchaseOfCommonStock,2026-08-25
AAPL,capex,2011-12-31,1321000000,2012-03-25,PaymentsToAcquireProductiveAssets,2026-08-25
AAPL,cash,2011-12-31,10310000000,2012-03-25,CashAndCashEquivalentsAtCarryingValue,2026-08-25
AAPL,equity,2011-12-31,90054000000,2012-03-25,StockholdersEquity,2026-08-25
AAPL,grossProfit,2011-12-31,20703000000,2012-03-25,GrossProfit,2026-08-25
AAPL,inventory,2011-12-31,1236000000,2012-03-25,InventoryNet,2026-08-25
AAPL,liabilities,2011-12-31,48627000000,2012-03-25,Liabilities,2026-08-25
AAPL,netIncome,2011-12-31,13064000000,2012-03-25,NetIncomeLoss,2026-08-25
AAPL,operatingCashFlow,2011-12-31,17554000000,2012-03-25,NetCashProvidedByUsedInOperatingActivities,2026-08-25
AAPL,operatingIncome,2011-12-31,17340000000,2012-03-25,OperatingIncomeLoss,2026-08-25
AAPL,receivables,2011-12-31,8930000000,2012-03-25,AccountsReceivableNetCurrent,2026-08-25
AAPL,revenue,2011-12-31,46333000000,2012-03-25,SalesRevenueNet,2026-08-25
AAPL,rnd,2011-12-31,758000000,2012-03-25,ResearchAndDevelopmentExpense,2026-08-25
AAPL,shares,2011-12-31,932214000,2012-03-25,CommonStockSharesOutstanding,2026-08-25
ABBV,cash,2011-12-31,27000000,2012-03-25,CashAndCashEquivalentsAtCarryingValue,2026-08-25
ABT,assets,2011-12-31,60277000000,2012-03-25,Assets,2026-08-25
ABT,cash,2011-12-31,6813000000,2012-03-25,CashAndCashEquivalentsAtCarryingValue,2026-08-25
ABT,debt,2011-12-31,12039822000,2012-03-25,LongTermDebtNoncurrent,2026-08-25
ABT,equity,2011-12-31,24439833000,2012-03-25,StockholdersEquity,2026-08-25
ABT,grossProfit,2011-12-31,6539600000,2012-03-25,GrossProfit,2026-08-25
ABT,inventory,2011-12-31,3284249000,2012-03-25,InventoryNet,2026-08-25
ABT,receivables,2011-12-31,7683920000,2012-03-25,AccountsReceivableNetCurrent,2026-08-25
ABT,revenue,2011-12-31,10377400000,2012-03-25,SalesRevenueNet,2026-08-25
ACGL,assets,2011-12-31,17105357000,2012-03-25,Assets,2026-08-25
ACGL,cash,2011-12-31,351699000,2012-03-25,CashAndCashEquivalentsAtCarryingValue,2026-08-25
ACGL,equity,2011-12-31,4592074000,2012-03-25,StockholdersEquity,2026-08-25
ACGL,liabilities,2011-12-31,12513283000,2012-03-25,Liabilities,2026-08-25
ACGL,netIncome,2011-12-31,145332000,2012-03-25,NetIncomeLoss,2026-08-25
ACGL,shares,2011-12-31,134358345,2012-03-25,CommonStockSharesOutstanding,2026-08-25
ACN,assets,2011-11-30,15290845000,2012-02-23,Assets,2026-08-25
ACN,buybacks,2011-11-30,285105000,2012-02-23,PaymentsForRepurchaseOfCommonStock,2026-08-25
ACN,capex,2011-11-30,80875000,2012-02-23,PaymentsToAcquirePropertyPlantAndEquipment,2026-08-25
ACN,cash,2011-11-30,5091906000,2012-02-23,CashAndCashEquivalentsAtCarryingValue,2026-08-25
ACN,equity,2011-11-30,3766360000,2012-02-23,StockholdersEquity,2026-08-25
ACN,netIncome,2011-11-30,642086000,2012-02-23,NetIncomeLoss,2026-08-25
ACN,operatingCashFlow,2011-11-30,475258000,2012-02-23,NetCashProvidedByUsedInOperatingActivities,2026-08-25
ACN,operatingIncome,2011-11-30,981138000,2012-02-23,OperatingIncomeLoss,2026-08-25
ACN,receivables,2011-11-30,3325556000,2012-02-23,AccountsReceivableNetCurrent,2026-08-25
ACN,revenue,2011-11-30,7589108000,2012-02-23,Revenues,2026-08-25
ADBE,assets,2011-12-02,8991183000,2012-02-25,Assets,2026-08-25
ADBE,cash,2011-12-02,989500000,2012-02-25,CashAndCashEquivalentsAtCarryingValue,2026-08-25
ADBE,equity,2011-12-02,5783113000,2012-02-25,StockholdersEquity,2026-08-25
ADBE,grossProfit,2011-12-02,1035782000,2012-02-25,GrossProfit,2026-08-25
ADBE,liabilities,2011-12-02,3208070000,2012-02-25,Liabilities,2026-08-25
ADBE,netIncome,2011-12-02,173719000,2012-02-25,NetIncomeLoss,2026-08-25
ADBE,receivables,2011-12-02,634373000,2012-02-25,AccountsReceivableNetCurrent,2026-08-25
ADBE,revenue,2011-12-02,1152161000,2012-02-25,Revenues,2026-08-25
ADBE,shares,2011-12-02,491540000,2012-02-25,CommonStockSharesOutstanding,2026-08-25
ADI,assets,2011-10-29,5277635000,2011-12-18,Assets,2026-08-25
ADI,cash,2011-10-29,1405100000,2011-12-18,CashAndCashEquivalentsAtCarryingValue,2026-08-25
ADI,equity,2011-10-29,3795413000,2011-12-18,StockholdersEquity,2026-08-25
ADI,grossProfit,2011-10-29,460514000,2011-12-18,GrossProfit,2026-08-25
ADI,inventory,2011-10-29,295081000,2011-12-18,InventoryNet,2026-08-25
ADI,operatingIncome,2011-10-29,235292000,2011-12-18,OperatingIncomeLoss,2026-08-25
ADI,receivables,2011-10-29,348416000,2011-12-18,AccountsReceivableNetCurrent,2026-08-25
ADI,revenue,2011-10-29,716134000,2011-12-18,SalesRevenueNet,2026-08-25
ADI,rnd,2011-10-29,123889000,2011-12-18,ResearchAndDevelopmentExpense,2026-08-25
ADI,shares,2011-10-29,297960718,2011-12-18,CommonStockSharesOutstanding,2026-08-25
ADM,assets,2011-12-31,41516000000,2012-03-25,Assets,2026-08-25
ADM,cash,2011-12-31,864000000,2012-03-25,CashAndCashEquivalentsAtCarryingValue,2026-08-25
ADM,debt,2011-12-31,6762000000,2012-03-25,LongTermDebtNoncurrent,2026-08-25
ADM,grossProfit,2011-12-31,813000000,2012-03-25,GrossProfit,2026-08-25
ADM,netIncome,2011-12-31,80000000,2012-03-25,NetIncomeLoss,2026-08-25
ADM,receivables,2011-12-31,5093000000,2012-03-25,AccountsReceivableNetCurrent,2026-08-25
ADM,revenue,2011-12-31,23306000000,2012-03-25,Revenues,2026-08-25
ADP,assets,2011-12-31,32484400000,2012-03-25,Assets,2026-08-25
ADP,cash,2011-12-31,1331300000,2012-03-25,CashAndCashEquivalentsAtCarryingValue,2026-08-25
ADP,debt,2011-12-31,36000000,2012-03-25,LongTermDebt,2026-08-25
ADP,equity,2011-12-31,6182400000,2012-03-25,StockholdersEquity,2026-08-25
ADP,grossProfit,2011-12-31,1057000000,2012-03-25,GrossProfit,2026-08-25
ADP,liabilities,2011-12-31,26302000000,2012-03-25,Liabilities,2026-08-25
ADP,netIncome,2011-12-31,375000000,2012-03-25,NetIncomeLoss,2026-08-25
ADP,receivables,2011-12-31,1353900000,2012-03-25,AccountsReceivableNetCurrent,2026-08-25
ADP,revenue,2011-12-31,2570700000,2012-03-25,Revenues,2026-08-25
ADP,shares,2011-12-31,489100000,2012-03-25,CommonStockSharesOutstanding,2026-08-25
ADSK,assets,2011-10-31,3005000000,2011-12-20,Assets,2026-08-25
ADSK,cash,2011-10-31,1103300000,2011-12-20,CashAndCashEquivalentsAtCarryingValue,2026-08-25
ADSK,equity,2011-10-31,1827500000,2011-12-20,StockholdersEquity,2026-08-25
ADSK,grossProfit,2011-10-31,489000000,2011-12-20,GrossProfit,2026-08-25
ADSK,netIncome,2011-10-31,72800000,2011-12-20,NetIncomeLoss,2026-08-25
ADSK,operatingIncome,2011-10-31,90200000,2011-12-20,OperatingIncomeLoss,2026-08-25
ADSK,receivables,2011-10-31,259200000,2011-12-20,AccountsReceivableNetCurrent,2026-08-25
ADSK,revenue,2011-10-31,548600000,2011-12-20,SalesRevenueNet,2026-08-25
ADSK,rnd,2011-10-31,141200000,2011-12-20,ResearchAndDevelopmentExpense,2026-08-25
AEE,assets,2011-12-31,23723000000,2012-03-25,Assets,2026-08-25
AEE,cash,2011-12-31,248000000,2012-03-25,CashAndCashEquivalentsAtCarryingValue,2026-08-25
AEE,debt,2011-12-31,5853000000,2012-03-25,LongTermDebtNoncurrent,2026-08-25
AEE,equity,2011-12-31,7919000000,2012-03-25,StockholdersEquity,2026-08-25
AEE,inventory,2011-12-31,550000000,2012-03-25,InventoryNet,2026-08-25
AEE,netIncome,2011-12-31,25000000,2012-03-25,NetIncomeLoss,2026-08-25
AEE,operatingIncome,2011-12-31,91000000,2012-03-25,OperatingIncomeLoss,2026-08-25
AEE,receivables,2011-12-31,424000000,2012-03-25,AccountsReceivableNetCurrent,2026-08-25
AEE,revenue,2011-12-31,1296000000,2012-03-25,Revenues,2026-08-25
AEE,shares,2011-12-31,242600000,2012-03-25,CommonStockSharesOutstanding,2026-08-25
AEP,assets,2011-12-31,52223000000,2012-03-25,Assets,2026-08-25
AEP,cash,2011-12-31,221000000,2012-03-25,CashAndCashEquivalentsAtCarryingValue,2026-08-25
